no,username,region,Weapon,kills,headshot(%)
206,LEV kiNgg#l33t,na, Ghost ,992,44.10%
207,V1 sarah#741hz,na, Vandal ,"26,960",52.30%
208,V1 sarah#741hz,na, Sheriff ,"6,453",63.90%
209,V1 sarah#741hz,na, Guardian ,"5,053",67.40%
210,okeanos#502,na, Vandal ,"31,955",49.90%
211,okeanos#502,na, Phantom ,"14,237",39.30%
212,okeanos#502,na, Operator ,"11,309",8.40%
213,req#oppaí,na, Vandal ,"13,588",48.10%
214,req#oppaí,na, Phantom ,"3,399",36.50%
215,req#oppaí,na, Ghost ,"1,516",51.80%
216,Twitch Jrmzie#999,na, Vandal ,"28,788",46.40%
217,Twitch Jrmzie#999,na, Sheriff ,"3,231",57.00%
218,Twitch Jrmzie#999,na, Ghost ,"2,258",42.60%
219,diceyzx#Quan,na, Vandal ,"22,510",41.60%
220,diceyzx#Quan,na, Phantom ,"7,450",31.20%
221,diceyzx#Quan,na, Operator ,"6,971",9.90%
222,Kami#4937,na, Vandal ,"15,082",27.30%
223,Kami#4937,na, Phantom ,"10,278",24.30%
224,Kami#4937,na, Judge ,"3,740",12.70%
225,Cohburg#Benny,na, Vandal ,"26,239",40.00%
226,Cohburg#Benny,na, Phantom ,"12,663",34.40%
227,Cohburg#Benny,na, Ghost ,"4,477",45.10%
228,WARDELL#WET,na, Vandal ,"25,636",41.40%
229,WARDELL#WET,na, Operator ,"22,056",7.60%
230,WARDELL#WET,na, Phantom ,"11,305",31.30%
231,tech#777,na, Vandal ,"38,516",43.20%
232,tech#777,na, Phantom ,"6,882",33.90%
233,tech#777,na, Ghost ,"4,466",43.50%
234,Nanners#000,na, Vandal ,"17,439",35.50%
235,Nanners#000,na, Phantom ,"12,178",31.90%
236,Nanners#000,na, Sheriff ,"2,857",50.70%
237,cr1m#6896,na, Vandal ,"18,798",31.90%
238,cr1m#6896,na, Phantom ,"4,495",26.80%
239,cr1m#6896,na, Sheriff ,"2,527",44.80%
240,sharky#foon,na, Vandal ,"18,972",36.50%
241,sharky#foon,na, Phantom ,"16,316",30.80%
242,sharky#foon,na, Spectre ,"3,857",20.00%
243,M80 koalanoob#HOPE,na, Vandal ,"26,381",36.80%
244,M80 koalanoob#HOPE,na, Operator ,"12,545",8.00%
245,M80 koalanoob#HOPE,na, Phantom ,"9,541",30.80%
246,Will#bang,na, Vandal ,"9,563",31.60%
247,Will#bang,na, Phantom ,"7,097",25.90%
248,Will#bang,na, Spectre ,"2,764",20.10%
249,June10 2003 0616#ByeNA,na, Vandal ,"16,975",35.00%
250,June10 2003 0616#ByeNA,na, Phantom ,"8,777",29.40%
251,June10 2003 0616#ByeNA,na, Judge ,"6,777",9.50%
252,Cain#n888,na, Vandal ,"16,928",34.20%
253,Cain#n888,na, Phantom ,"10,023",29.10%
254,Cain#n888,na, Spectre ,"2,607",21.00%
255,azelf#00000,na, Vandal ,"22,602",47.60%
256,azelf#00000,na, Phantom ,"7,623",39.40%
257,azelf#00000,na, Sheriff ,"3,141",56.20%
258,Nagi#miwa,na, Vandal ,"24,180",34.00%
259,Nagi#miwa,na, Phantom ,"5,767",28.70%
260,Nagi#miwa,na, Operator ,"3,838",11.00%
261,traded#erica,na, Vandal ,"28,856",43.20%
262,traded#erica,na, Phantom ,"6,195",35.80%
263,traded#erica,na, Sheriff ,"4,525",49.20%
264,exa#2rich,na, Vandal ,"25,169",36.90%
265,exa#2rich,na, Phantom ,"7,962",32.20%
266,exa#2rich,na, Spectre ,"3,010",22.10%
267,C9 Xeppaa#XITER,na, Phantom ,"20,872",31.90%
268,C9 Xeppaa#XITER,na, Vandal ,"18,718",35.70%
269,C9 Xeppaa#XITER,na, Spectre ,"4,421",25.70%
270,G2 wippie#naysh,na, Vandal ,"22,470",31.10%
271,G2 wippie#naysh,na, Phantom ,"16,221",27.90%
272,G2 wippie#naysh,na, Spectre ,"4,100",24.90%
273,DraYstaR#zapr,na, Vandal ,"32,832",36.50%
274,DraYstaR#zapr,na, Phantom ,"12,355",31.80%
275,DraYstaR#zapr,na, Sheriff ,"3,830",56.70%
276,SR bdog#858,na, Phantom ,"14,231",33.40%
277,SR bdog#858,na, Operator ,"5,142",7.40%
278,SR bdog#858,na, Vandal ,"4,332",38.20%
279,marko#POLOO,na, Vandal ,"16,211",31.70%
280,marko#POLOO,na, Phantom ,"5,578",28.40%
281,marko#POLOO,na, Spectre ,"2,830",22.90%
282,Tuki#nzr,na, Vandal ,"2,813",36.40%
283,Tuki#nzr,na, Phantom ,"1,914",30.50%
284,Tuki#nzr,na, Ghost ,431,40.80%
285,KRÜ keznitdeuS#JEKE,na, Vandal ,"15,045",39.60%
